regime,scorer,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col
high_diversity_aligned,aligned,exact_selected_real,5,0.5405153203936063,0.037907665815874306,0.4728617094720023,0.5988411564156149,0.95,1,64,high_minus_low,exact_selected_real
high_diversity_aligned,aligned,exact_selected_score,5,0.5426644080684448,0.036423062680527266,0.48387928345548054,0.6009701151144322,0.95,1,64,high_minus_low,exact_selected_score
high_diversity_aligned,aligned,high_n_regret,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,high_n_regret
high_diversity_aligned,aligned,effective_sample_diversity,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,effective_sample_diversity
high_diversity_aligned,aligned,duplicate_collapse_rate,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,duplicate_collapse_rate
high_diversity_misaligned,misaligned_tail,exact_selected_real,5,-0.4137173469104889,0.06356407941256424,-0.5198872345222589,-0.30371474293718353,0.95,1,64,high_minus_low,exact_selected_real
high_diversity_misaligned,misaligned_tail,exact_selected_score,5,0.3539448633612026,0.02599796998857313,0.3007116769459828,0.39199627780784174,0.95,1,64,high_minus_low,exact_selected_score
high_diversity_misaligned,misaligned_tail,high_n_regret,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,high_n_regret
high_diversity_misaligned,misaligned_tail,effective_sample_diversity,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,effective_sample_diversity
high_diversity_misaligned,misaligned_tail,duplicate_collapse_rate,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,duplicate_collapse_rate
low_diversity_high_quality,aligned,exact_selected_real,5,-2.2204460492503132e-17,3.5002851218456244e-16,-6.217248937900876e-16,5.551115123125783e-16,0.95,1,64,high_minus_low,exact_selected_real
low_diversity_high_quality,aligned,exact_selected_score,5,0.038062223140814366,0.0024088540873819,0.03411685514767036,0.042007591133958376,0.95,1,64,high_minus_low,exact_selected_score
low_diversity_high_quality,aligned,high_n_regret,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,high_n_regret
low_diversity_high_quality,aligned,effective_sample_diversity,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,effective_sample_diversity
low_diversity_high_quality,aligned,duplicate_collapse_rate,5,0.0,0.0,0.0,0.0,0.95,1,64,high_minus_low,duplicate_collapse_rate
