subset,effect,n,mean,se,ci_low,ci_high,confidence
all,adaptive_ats_minus_fixed_high_N,180,-0.04581872950701017,0.05273890784341955,-0.15006389015755886,0.05135306849036163,0.95
all,adaptive_ats_minus_fixed_low_N,180,-0.1264600955998792,0.01427882010387871,-0.1543237347960286,-0.09979590232601689,0.95
all,audit_then_sample_minus_fixed_high_N,180,0.08843158831509133,0.04527970400684139,0.00500747086375718,0.178545389052384,0.95
all,fixed_high_N_minus_fixed_low_N,180,-0.08064136609286902,0.04389204550584945,-0.16987212892175108,0.0010782533936839842,0.95
all,oracle_high_N_minus_adaptive_ats,180,0.33191171844282885,0.05559998942928152,0.22283774889602864,0.4386863888561844,0.95
harmful_high_N,adaptive_ats_minus_fixed_high_N,92,0.43357262551788234,0.07247888845337982,0.2971550028820916,0.5654275176743366,0.95
harmful_high_N,adaptive_ats_minus_fixed_low_N,92,-0.0016216715580442867,0.019519746026633616,-0.04688744066004331,0.03500840529923257,0.95
harmful_high_N,audit_then_sample_minus_fixed_high_N,92,0.4496861231628832,0.06936459098196526,0.3179202328159098,0.5820853381297583,0.95
harmful_high_N,fixed_high_N_minus_fixed_low_N,92,-0.43519429707592666,0.06665623771928902,-0.5650078150591598,-0.32449536961099884,0.95
harmful_high_N,oracle_high_N_minus_adaptive_ats,92,0.019973714607565793,0.0978846885015822,-0.19288113340330812,0.22624971987189882,0.95
negative_regimes,adaptive_ats_minus_fixed_high_N,120,0.19301956133105608,0.06877577253018563,0.05283696823724795,0.31773377775932726,0.95
negative_regimes,adaptive_ats_minus_fixed_low_N,120,-0.05843347639266914,0.01811824081446201,-0.09172912004902567,-0.02461781978848244,0.95
negative_regimes,audit_then_sample_minus_fixed_high_N,120,0.2627463710570586,0.06171223456013383,0.16646218850917222,0.3865507387476634,0.95
negative_regimes,fixed_high_N_minus_fixed_low_N,120,-0.25145303772372524,0.05966309216948019,-0.36531189870312514,-0.15146293107425357,0.95
negative_regimes,oracle_high_N_minus_adaptive_ats,120,0.18769041482564114,0.08012582106216969,0.037257314282977315,0.3386422859369296,0.95
aligned_recovery,adaptive_ats_minus_fixed_high_N,40,-0.6167534945581631,0.013418614769884075,-0.6405359472201235,-0.5901746774481962,0.95
aligned_recovery,adaptive_ats_minus_fixed_low_N,40,-0.30038256037706257,0.0044396005940030596,-0.30860089816212366,-0.29183631583304487,0.95
aligned_recovery,audit_then_sample_minus_fixed_high_N,40,-0.31558693418110034,0.010383736581705579,-0.3358744504229811,-0.29394580771596146,0.95
aligned_recovery,fixed_high_N_minus_fixed_low_N,40,0.3163709341811004,0.010383736581705579,0.2949926993486527,0.33462462814041116,0.95
aligned_recovery,oracle_high_N_minus_adaptive_ats,40,0.6173251493110908,0.013401216489931256,0.5915501174291828,0.6438393007858073,0.95
