regime,policy,expected_real_utility,latency_adjusted_utility,runtime_ms,N,K
calibration_drift,adaptive_ats,1.0879482514978558,1.087920251497856,0.04,1.0,2.0
calibration_drift,audit_then_sample,1.3408518266148945,1.3407398266148947,0.16,4.0,2.0
calibration_drift,fixed_high_N,1.2958321344828,1.2743281344828001,30.72,96.0,16.0
calibration_drift,fixed_low_N,1.3408518266148945,1.3399558266148945,1.28,4.0,16.0
calibration_drift,oracle_high_N,1.7202853890206407,1.6987813890206405,30.72,96.0,16.0
diversity_collapse,adaptive_ats,1.335547412240365,1.3355194122403653,0.04,1.0,2.0
diversity_collapse,audit_then_sample,1.335547412240365,1.3354354122403653,0.16,4.0,2.0
diversity_collapse,fixed_high_N,1.335547412240365,1.314043412240365,30.72,96.0,16.0
diversity_collapse,fixed_low_N,1.335547412240365,1.334651412240365,1.28,4.0,16.0
diversity_collapse,oracle_high_N,1.335547412240365,1.314043412240365,30.72,96.0,16.0
duplicate_artifact,adaptive_ats,0.887737059942092,0.8877090599420919,0.04,1.0,2.0
duplicate_artifact,audit_then_sample,0.6060405990399028,0.6059285990399028,0.16,4.0,2.0
duplicate_artifact,fixed_high_N,0.4057335644420469,0.3842295644420469,30.72,96.0,16.0
duplicate_artifact,fixed_low_N,0.6060405990399028,0.6051445990399028,1.28,4.0,16.0
duplicate_artifact,oracle_high_N,1.7176372300279517,1.6961332300279515,30.72,96.0,16.0
hidden_obstacle_tail,adaptive_ats,0.7953697595061298,0.7953417595061298,0.04,1.0,2.0
hidden_obstacle_tail,audit_then_sample,1.0916271865005702,1.0915151865005703,0.16,4.0,2.0
hidden_obstacle_tail,fixed_high_N,1.4648169790495411,1.4433129790495411,30.72,96.0,16.0
hidden_obstacle_tail,fixed_low_N,1.0916271865005702,1.0907311865005702,1.28,4.0,16.0
hidden_obstacle_tail,oracle_high_N,1.613586152535234,1.5920821525352342,30.72,96.0,16.0
latency_spike,adaptive_ats,1.051093649963493,1.030813649963493,1.69,1.0,2.0
latency_spike,audit_then_sample,1.093944837425822,1.066824837425822,2.26,4.0,2.0
latency_spike,fixed_high_N,1.1387099547233126,-0.6303300452766876,147.42000000000002,96.0,16.0
latency_spike,fixed_low_N,1.093944837425822,1.0029848374258221,7.58,4.0,16.0
latency_spike,oracle_high_N,1.1388030740725126,-0.6302369259274876,147.42000000000002,96.0,16.0
missing_utility,adaptive_ats,1.1392941027258732,1.1392661027258733,0.04,1.0,2.0
missing_utility,audit_then_sample,1.254599232410269,1.2544872324102694,0.16,4.0,2.0
missing_utility,fixed_high_N,1.354372822951407,1.332868822951407,30.72,96.0,16.0
missing_utility,fixed_low_N,1.254599232410269,1.253703232410269,1.28,4.0,16.0
missing_utility,oracle_high_N,1.7534134669329522,1.7319094669329522,30.72,96.0,16.0
nominal_aligned,adaptive_ats,1.13471780872974,1.1346898087297401,0.04,1.0,2.0
nominal_aligned,audit_then_sample,1.4389160600119943,1.4388040600119942,0.16,4.0,2.0
nominal_aligned,fixed_high_N,1.7843613081158427,1.7628573081158425,30.72,96.0,16.0
nominal_aligned,fixed_low_N,1.4389160600119943,1.4380200600119943,1.28,4.0,16.0
nominal_aligned,oracle_high_N,1.785246048404066,1.7637420484040658,30.72,96.0,16.0
recovery_aligned,adaptive_ats,1.1478054614574373,1.1477774614574376,0.04,1.0,2.0
recovery_aligned,audit_then_sample,1.4461083309293086,1.4459963309293085,0.16,4.0,2.0
recovery_aligned,fixed_high_N,1.7746209511876612,1.753116951187661,30.72,96.0,16.0
recovery_aligned,fixed_low_N,1.4461083309293086,1.4452123309293086,1.28,4.0,16.0
recovery_aligned,oracle_high_N,1.7748795204052936,1.7533755204052934,30.72,96.0,16.0
weak_tail_alignment,adaptive_ats,1.0895870738384301,1.0895590738384304,0.04,1.0,2.0
weak_tail_alignment,audit_then_sample,1.277229955127203,1.2771179551272032,0.16,4.0,2.0
weak_tail_alignment,fixed_high_N,1.4480420182715323,1.4265380182715324,30.72,96.0,16.0
weak_tail_alignment,fixed_low_N,1.277229955127203,1.276333955127203,1.28,4.0,16.0
weak_tail_alignment,oracle_high_N,1.7374757522478617,1.715971752247862,30.72,96.0,16.0
