seed,conditioning,regime,scorer,N,K,mean_receding_horizon_utility
1,state,id,diffusion_likelihood_proxy,8,8,-0.8139036876438258
1,state,id,calibrated_critic,8,8,-0.7946750171292214
1,image,id,diffusion_likelihood_proxy,8,8,-0.8842633523792974
1,image,id,calibrated_critic,8,8,-0.8842633523792974
1,state,distractors,diffusion_likelihood_proxy,8,8,-0.8139036876438258
1,state,distractors,calibrated_critic,8,8,-0.7946750171292214
1,image,distractors,diffusion_likelihood_proxy,8,8,-0.8832859620291194
1,image,distractors,calibrated_critic,8,8,-0.8832859620291194
1,state,shifted_colors,diffusion_likelihood_proxy,8,8,-0.8139036876438258
1,state,shifted_colors,calibrated_critic,8,8,-0.7946750171292214
1,image,shifted_colors,diffusion_likelihood_proxy,8,8,-0.8840555833403192
1,image,shifted_colors,calibrated_critic,8,8,-0.8840555833403192
1,state,observation_noise,diffusion_likelihood_proxy,8,8,-0.8139036876438258
1,state,observation_noise,calibrated_critic,8,8,-0.7946750171292214
1,image,observation_noise,diffusion_likelihood_proxy,8,8,-0.883283047814121
1,image,observation_noise,calibrated_critic,8,8,-0.883283047814121
1,state,hidden_obstacle,diffusion_likelihood_proxy,8,8,-0.9028010498039075
1,state,hidden_obstacle,calibrated_critic,8,8,-0.9054185050973382
1,image,hidden_obstacle,diffusion_likelihood_proxy,8,8,-0.9981294566219662
1,image,hidden_obstacle,calibrated_critic,8,8,-1.0034376433754988
2,state,id,diffusion_likelihood_proxy,8,8,-0.9315280259388533
2,state,id,calibrated_critic,8,8,-0.928526149077027
2,image,id,diffusion_likelihood_proxy,8,8,-1.0710586549218286
2,image,id,calibrated_critic,8,8,-1.0732307663201937
2,state,distractors,diffusion_likelihood_proxy,8,8,-0.9315280259388533
2,state,distractors,calibrated_critic,8,8,-0.928526149077027
2,image,distractors,diffusion_likelihood_proxy,8,8,-1.0707972413199682
2,image,distractors,calibrated_critic,8,8,-1.0730159259504681
2,state,shifted_colors,diffusion_likelihood_proxy,8,8,-0.9315280259388533
2,state,shifted_colors,calibrated_critic,8,8,-0.928526149077027
2,image,shifted_colors,diffusion_likelihood_proxy,8,8,-1.0704631523144659
2,image,shifted_colors,calibrated_critic,8,8,-1.0727449341630049
2,state,observation_noise,diffusion_likelihood_proxy,8,8,-0.9315280259388533
2,state,observation_noise,calibrated_critic,8,8,-0.928526149077027
2,image,observation_noise,diffusion_likelihood_proxy,8,8,-1.0705978473687627
2,image,observation_noise,calibrated_critic,8,8,-1.0728258496337106
2,state,hidden_obstacle,diffusion_likelihood_proxy,8,8,-1.08248942468402
2,state,hidden_obstacle,calibrated_critic,8,8,-1.076950030049601
2,image,hidden_obstacle,diffusion_likelihood_proxy,8,8,-1.223629801753247
2,image,hidden_obstacle,calibrated_critic,8,8,-1.223116386053186
3,state,id,diffusion_likelihood_proxy,8,8,-0.9175417523244302
3,state,id,calibrated_critic,8,8,-0.9027988958433036
3,image,id,diffusion_likelihood_proxy,8,8,-0.7618760770605769
3,image,id,calibrated_critic,8,8,-0.7670550396935979
3,state,distractors,diffusion_likelihood_proxy,8,8,-0.9175417523244302
3,state,distractors,calibrated_critic,8,8,-0.9027988958433036
3,image,distractors,diffusion_likelihood_proxy,8,8,-0.7604759709987507
3,image,distractors,calibrated_critic,8,8,-0.7652008381207681
3,state,shifted_colors,diffusion_likelihood_proxy,8,8,-0.9175417523244302
3,state,shifted_colors,calibrated_critic,8,8,-0.9027988958433036
3,image,shifted_colors,diffusion_likelihood_proxy,8,8,-0.761534099774697
3,image,shifted_colors,calibrated_critic,8,8,-0.7664252725730734
3,state,observation_noise,diffusion_likelihood_proxy,8,8,-0.9175417523244302
3,state,observation_noise,calibrated_critic,8,8,-0.9027988958433036
3,image,observation_noise,diffusion_likelihood_proxy,8,8,-0.7588884070634764
3,image,observation_noise,calibrated_critic,8,8,-0.7630748846233267
3,state,hidden_obstacle,diffusion_likelihood_proxy,8,8,-1.2525432233657279
3,state,hidden_obstacle,calibrated_critic,8,8,-1.2113376645655232
3,image,hidden_obstacle,diffusion_likelihood_proxy,8,8,-0.9900071463200609
3,image,hidden_obstacle,calibrated_critic,8,8,-0.9986347747141862
